Body,Actual Tags,Predicted Tags
" 본원상표는 지정 상품 “가정용 전기믹서,가정용 전기식 과일압착기,가정용 전기식 분쇄기,가정용 전기식 혼합기,가정용전기식 거품기,자동그릇세척기,전기가위,전기세탁기,전기소제기(掃除機),전기식 구두닦는 기계,전기식 깡통따개,전기진공청소기,전기진공청소기 백,로봇”과 관련하여 볼 때 타인의 선등록 상표 제398024호(ALBATROSS) 및 제398025호(알바트로스)와 (칭호, 관념 및 또는 외관)이 동일 또는 유사한 상표이며, 지정 상품 “굴착기,그레이더(Grader),무인반송차,벌크차,불도저,페이로다”와 관련하여 볼 때 타인의 선등록 상표 제289057호(ALBATROSS)와 (칭호, 관념, 외관)이 동일 또는 유사한 상표이므로 상표법 제7조 제1항 제7호에 해당하여 상표등록을 받을 수 없습니다. 다만, 상기 지적된 상품을 삭제하거나 분할하여 출원하는 등의 적법한 조치를 하면 다른 거절이유가 없는 한 본원상표는 등록을 받을 수 있습니다. 끝.","('관념유사', '발음유사', '외관유사')","('관념유사', '기타', '발음유사', '식별력', '외관유사')"
" 본원상표의 ""코엔자임 큐텐 비타(COENZYME Q10 VITA)""는 주름살방지 등 노화방지 기능을 가진 산화방지제로 알려진 ‘코엔자임 큐텐(COENZYME Q10 )’과 ‘비타민’으로 화장품의 성질(원재료)표시이며, “ 페이스 세럼 마스크(FACE SERUM MASK)”의 ""FACE""는 ‘얼굴’에 사용하는 용도 표시로서 식별력이 없거나 약하고, ""SERUM""은 '영양 성분을 농축해 놓은 것, 에센스' 등의 의미로, ""MASK""는 '얼굴' 또는 '마스크팩' 등의 의미로 화장품업계에서 사용하는 용어로 지정상품의 보통명칭이거나 성질(상품의 형태)표시로서 식별력이 없어, 상표전체적으로 각각 식별력이 없는 부분을 결합한 것으로서 이를 지정상품에 사용하는 경우, 수요자가 누구의 업무와 관련된 상품을 표시하는 상표인지를 식별할 수 없으므로 상표법 제6조 제1항 제3호 및 제6조 제1항 제7호에 해당하여 상표등록을 받을 수 없습니다. 끝.","('식별력',)","('관념유사', '기타', '발음유사', '상품 불명확', '외관유사')"
" 본원상표의“MASTIC”은‘최근 헬리코박터 파일로리균을 죽이는 것이 입증되어 의약품 및 껌, 치약, 스파, 화장품 등 건강상품에 이용되는 매스틱나무(유향수)의 수지성 수액’의 뜻으로서 지정상품에 사용하는 경우 그 상품의 품질, 원재료, 효능 등을 보통으로 사용하는 방법으로 표시한 상표이므로 상표법 제6조 제1항 제3호에 해당하며, 이와 관련없는 지정상품에 사용할 경우 일반수요자로 하여금 상품내용이 MASTIC 성분을 함유한 것으로 품질을 오인·혼동케 할 우려가 있으므로 상표법 제7조 제1항 제11호에 해당하여 상표등록을 받을 수 없습니다. 끝.","('식별력',)","('관념유사', '기타', '발음유사', '상품 불명확', '식별력', '외관유사')"
" 본원상표는 그 지정상품 중 ""온수기/온수난방기구 즉 컴버스터/보일러 및 그 부품들(water heatingsystem, namely, combustors and boilers and parts therefore)""이 여러 상품의 명칭을 포함하는 명칭이므로 상표법 제10조에 해당하여 상표등록을 받을 수 없습니다. 다만, 지적된 상품명을 삭제하거나 상표법 시행규칙 [별표1]의 상품류구분표에 예시된 상품명칭을 참고하여 구체적인 지정상품명으로 수정하면 다른 거절이유가 없는 한 등록받을 수 있습니다. ※ 구체적인 상품명 : 예) 온수기, 온수난방기구, 온시난방기구, 가스보일러, 가정용보일러 등, 상품보정이 있는 경우 재심사할 예정입니다. 끝. 본원상표의 ""GAS"" 원재료 표시로 식별력이 없고 ""MASTER""는 다수인이 등록하여 사용하고 있어 이를 지정상품에 사용하는 경우, 수요자가 누구의 업무와 관련된 상품을 표시하는 상표인지를 식별할 수 없으므로 상표법 제6조 제1항 제7호에 해당하여 상표등록을 받을 수 없습니다. 끝.","('상품 불명확', '식별력')","('관념유사', '기타', '발음유사', '상품 불명확', '식별력', '외관유사')"
" 본원상표는 지정 상품 “곡물소시지,곡물수프,곡분제 페이스트,국수,귀리플레이크,냉면,당면,도시락밥,라면,라비올리(Ravioli),리본버미첼리(Ribbonvermicelli),마카로니,만두피,밀기울,버미첼리(Vermicelli),빈대떡,샌드위치,스파게티,오트밀,전,초밥,콘플레이크,쿠스쿠스(Couscous),키쉬(Quiches),타불레(Tabboulea),타코(Tacos),토스트,파스타(Pasta),피자,핫도그,”와 관련하여 볼 때 타인의 선등록 상표 제400261925호 (튜니 TUNI)와 칭호가 동일 또는 유사한 상표이므로 상표법 제7조 제1항 제7호에 해당하여 상표등록을 받을 수 없습니다. 끝","('발음유사',)","('관념유사', '기타', '발음유사', '상품 불명확', '식별력', '외관유사')"
" 본원상표는 그 지정상품 중 “[제9류]측정기계기구,구명용구,전기통신기계기구, 기타 전자응용기계기구 및그 부품,기타 컴퓨터용 프로그램,생체정보에 관한 데이터 및 기타 데이터 전송용 컴퓨터용 프로그램,생체정보에 관한 데이터 및 기타 데이터 표시용 컴퓨터용 프로그램,녹화된 비디오디스크 및 비디오테이프 [제10류]의료용 생체정보 측정/해석/표시/기록 장치(통신기능이 있는 것포함)의 부속품 또는 부품,기타 의료용 기계기구”는 여러 상품의 명칭을 포함하고 불명확한 명칭이므로 상표법 제10조에 해당하여 상표등록을 받을 수 없습니다. 다만, 지적된 상품명을 삭제하거나 상표법 시행규칙 [별표1]의 상품류구분표에 예시된 상품명칭을 참고하여 구체적인 지정상품명으로 수정하면 다른 거절이유가 없는 한 등록받을 수 있습니다.","('상품 불명확',)","('관념유사', '기타', '발음유사', '상품 불명확', '식별력', '외관유사')"
" 1. 본원상표는 지정 상품 전부와 관련하여 볼 때 타인의 선등록 상표 제618274호(MISSHA),제389303호,제376027호(MICHAA SPORTS),제357289호,제353807호(미샤 MICHA)와 1요부의 칭호가 동일 또는 유사한 상표이므로 상표법 제7조 제1항 제7호에 해당하여 상표등록을 받을 수 없습니다.2. 본원상표는 지정상품 전부와 관련하여 볼 때, 타인의 선출원 상표 제2006-22567호,제2006-22566호(M M I C H AA)와 1요부의 칭호가 동일 또는 유사한 상표로서 상표법 제8조에 해당하여 상표등록을 받을 수 없습니다. 다만, 타인의 선출원 상표가 거절결정, 출원취하, 출원포기 또는 무효가 확정된 경우에도 다른 거절이유가 없는 한 본원상표는 등록받을 수 있습니다.3. 본원상표는 그 지정상품 중 ‘ 휴대용화장품케이스, 지갑’은 여러 상품의 명칭을 포함하는 명칭이며, 지정상품 중 ‘가죽제’는 불명확하므로 상표법 제10조에 해당하여 상표등록을 받을 수 없습니다. 다만, 지적된 상품명을 삭제하거나 상표법 시행규칙 [별표1]의 상품류구분표에 예시된 상품명칭을 참고하여 구체적인 지정상품명으로 수정하면 다른 거절이유가 없는 한 등록받을 수 있습니다.","('발음유사', '상품 불명확')","('관념유사', '기타', '발음유사', '식별력', '외관유사')"
" 본원상표는 ""금박으로 수 놓은 수의"" 뜻으로서 지정상품인 “수의”에 사용하는 경우 그 상품의 품질, 원재료, 효능, 가공방법 등을 보통으로 사용하는 방법으로 표시한 상표이므로 상표법 제6조 제1항 제3호에 해당하여 상표등록을 받을 수 없습니다.","('식별력',)","('관념유사', '기타', '발음유사', '상품 불명확', '식별력', '외관유사')"
" 본원상표는 지정 상품 “과자용 향미료(精油),음료용 향미료(精油)”와 관련하여 볼 때 타인의 선등록 상표 ▶제400258323 (비트)호와 1요부의 칭호, 관념이 동일하고, 지정 상품 “가발고정용 접착제,인조속눈썹,인조속눈썹고정용 접착제,인조손톱,화장용 로션처리티슈,화장용 마스크(Beautymasks),화장용 면봉,화장용 장식전사화(裝飾轉寫畵),화장용 접착제,화장용탈지면”과 관련하여 볼 때 타인의 선등록 상표 ▶제400253371 (비트)호와 1요부의 칭호, 관념이 동일한 상표이므로 상표법 제7조 제1항 제7호에 해당하여 상표등록을 받을 수 없습니다. 다만, 상기 지적된 상품을 삭제하거나 분할하여 출원하는 등의 적법한 조치를 하면 다른 거절이유가 없는 한 본원상표는 등록을 받을 수 있습니다. 끝.","('관념유사', '발음유사')","('관념유사', '기타', '발음유사', '상품 불명확', '식별력', '외관유사')"
 1. 본원상표 “CHUNGSONG”은 경상북도 청송군으로 현저한 지리적 명칭으로 된 상표이므로 상표법 제6조 제1항 제4호에 해당하여 상표등록을 받을 수 없습니다.2. 본원상표는 그 지정상품 중 “골프가방”은 상품분류가 잘못 기재된 상품이므로 상표법 제10조에 해당하여 상표등록을 받을 수 없습니다.※ 정확한 상품류: 28류,"('상품 불명확', '식별력')","('관념유사', '기타', '발음유사', '상품 불명확', '식별력', '외관유사')"
